COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,JUN2014,June 2014,2014,6,June,Low carbon,3633.158,26,48591.614,,0.6553198274417538
Colombia,JUN2014,June 2014,2014,6,June,Fossil fuels,1910.941,27,20435.682,,0.3446801725582462
Colombia,JUL2014,July 2014,2014,7,July,Hydro,4105.318,1,47249.092,,0.6938270903872591
Colombia,JUL2014,July 2014,2014,7,July,Wind,8.713,2,69.482,,0.0014725571657406
Colombia,JUL2014,July 2014,2014,7,July,Solar,0.75,3,8.947,,0.0001267551789631
Colombia,JUL2014,July 2014,2014,7,July,Total combustible fuels,1802.136,7,21699.775,,0.3045734282611319
Colombia,JUL2014,July 2014,2014,7,July,Coal,393.836,8,5152.09,,0.066561003549483
Colombia,JUL2014,July 2014,2014,7,July,Oil,151.163,9,1918.191,,0.0255475908234658
Colombia,JUL2014,July 2014,2014,7,July,Natural gas,1146.857,10,13365.401,,0.1938267523734484
Colombia,JUL2014,July 2014,2014,7,July,Combustible renewables,110.281,11,1264.093,,0.0186382505216398
Colombia,JUL2014,July 2014,2014,7,July,Net electricity production,5916.918,14,69027.299,,1.0
Colombia,JUL2014,July 2014,2014,7,July,Total imports,13.911,15,47.0,,0.0023510550594076
Colombia,JUL2014,July 2014,2014,7,July,Total exports,23.181,16,849.0,,0.0039177490713915
Colombia,JUL2014,July 2014,2014,7,July,Electricity supplied,5907.648,17,68225.299,,0.9984333059880162
Colombia,JUL2014,July 2014,2014,7,July,Distribution losses,615.733,19,5850.0,,0.1040631288113169
Colombia,JUL2014,July 2014,2014,7,July,Final consumption,5291.915,20,62375.299,,0.8943701771766991
Colombia,JUL2014,July 2014,2014,7,July,Electricity trade,9.27,21,802.0,,0.0015666940119839
Colombia,JUL2014,July 2014,2014,7,July,Renewables,4225.062,22,48591.614,,0.7140646532536027
Colombia,JUL2014,July 2014,2014,7,July,Non-renewables,1691.856,23,20435.682,,0.2859353467463973
Colombia,JUL2014,July 2014,2014,7,July,Others,151.163,24,1918.191,,0.0255475908234658
Colombia,JUL2014,July 2014,2014,7,July,Other renewables aggregated,110.281,25,1264.093,,0.0186382505216398
Colombia,JUL2014,July 2014,2014,7,July,Low carbon,4225.062,26,48591.614,,0.7140646532536027
Colombia,JUL2014,July 2014,2014,7,July,Fossil fuels,1691.856,27,20435.682,,0.2859353467463973
Colombia,AUG2014,August 2014,2014,8,August,Hydro,4058.878,1,47249.092,,0.6973243176101073
Colombia,AUG2014,August 2014,2014,8,August,Wind,5.438,2,69.482,,0.0009342605614565
Colombia,AUG2014,August 2014,2014,8,August,Solar,0.75,3,8.947,,0.000128851677288
Colombia,AUG2014,August 2014,2014,8,August,Total combustible fuels,1755.579,7,21699.775,,0.3016123983489118
Colombia,AUG2014,August 2014,2014,8,August,Coal,368.25,8,5152.09,,0.0632661735484343
Colombia,AUG2014,August 2014,2014,8,August,Oil,146.552,9,1918.191,,0.0251779613465584
Colombia,AUG2014,August 2014,2014,8,August,Natural gas,1130.38,10,13365.401,,0.1942018119638267
Colombia,AUG2014,August 2014,2014,8,August,Combustible renewables,110.397,11,1264.093,,0.0189664514900923
Colombia,AUG2014,August 2014,2014,8,August,Net electricity production,5820.646,14,69027.299,,1.0
Colombia,AUG2014,August 2014,2014,8,August,Total imports,20.77,15,47.0,,0.0035683324496971
Colombia,AUG2014,August 2014,2014,8,August,Total exports,16.482,16,849.0,,0.0028316444600822
Colombia,AUG2014,August 2014,2014,8,August,Electricity supplied,5824.934,17,68225.299,,1.000736687989615
Colombia,AUG2014,August 2014,2014,8,August,Distribution losses,428.081,19,5850.0,,0.0735452731535297
Colombia,AUG2014,August 2014,2014,8,August,Final consumption,5396.853,20,62375.299,,0.9271914148360852
Colombia,AUG2014,August 2014,2014,8,August,Electricity trade,-4.288,21,802.0,,-0.0007366879896148
Colombia,AUG2014,August 2014,2014,8,August,Renewables,4175.463,22,48591.614,,0.7173538813389442
Colombia,AUG2014,August 2014,2014,8,August,Non-renewables,1645.182,23,20435.682,,0.2826459468588194
Colombia,AUG2014,August 2014,2014,8,August,Others,146.552,24,1918.191,,0.0251779613465584
Colombia,AUG2014,August 2014,2014,8,August,Other renewables aggregated,110.397,25,1264.093,,0.0189664514900923
Colombia,AUG2014,August 2014,2014,8,August,Low carbon,4175.463,26,48591.614,,0.7173538813389442
Colombia,AUG2014,August 2014,2014,8,August,Fossil fuels,1645.182,27,20435.682,,0.2826459468588194
Colombia,SEP2014,September 2014,2014,9,September,Hydro,4165.149,1,47249.092,,0.7107144258776114
Colombia,SEP2014,September 2014,2014,9,September,Wind,4.5,2,69.482,,0.0007678512620915
Colombia,SEP2014,September 2014,2014,9,September,Solar,0.745,3,8.947,,0.0001271220422795
Colombia,SEP2014,September 2014,2014,9,September,Total combustible fuels,1690.116,7,21699.775,,0.2883906008180175
Colombia,SEP2014,September 2014,2014,9,September,Coal,372.765,8,5152.09,,0.0636062390474549
Colombia,SEP2014,September 2014,2014,9,September,Oil,166.453,9,1918.191,,0.0284024769175378
Colombia,SEP2014,September 2014,2014,9,September,Natural gas,1043.316,10,13365.401,,0.1780247794133957
Colombia,SEP2014,September 2014,2014,9,September,Combustible renewables,107.583,11,1264.093,,0.0183572760732427
Colombia,SEP2014,September 2014,2014,9,September,Net electricity production,5860.51,14,69027.299,,1.0
Colombia,SEP2014,September 2014,2014,9,September,Total imports,0.053,15,47.0,,9.043581531300177e-06
